Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-11-23,GOOGLE SERVICES MOUNTAIN VIEW,GOOGLE SERVICES MOUNTAIN VIEW,20.0,credit,Statement Credits,American Express Gold,,
2023-11-23,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,43.55,debit,Gift,American Express Gold,,
2023-11-21,GOOGLE *YOUTUBE TV G.CO/HELPPAY# CA,GOOGLE *YOUTUBE TV G.CO/HELPPAY# CA,90.9,debit,Television,American Express Gold,,
2023-11-20,GRUBHUB*RAYSNEWYORKPNEW YORK NY,GRUBHUB*RAYSNEWYORKPNEW YORK NY,22.86,debit,Restaurants,American Express Gold,,
2023-11-19,MINT MOBILE COSTA MESA CA,MINT MOBILE COSTA MESA CA,76.37,debit,Mobile Phone,American Express Gold,,
2023-11-13,THE PAINTED DUCK 628ATLANTA GA,THE PAINTED DUCK 628ATLANTA GA,41.57,debit,Alcohol & Bars,American Express Gold,,
2023-11-12,LYFT XXX-XXX-0278 CA,LYFT XXX-XXX-0278 CA,8.7,debit,Ride Share,American Express Gold,,
2023-11-12,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,8.56,debit,Ride Share,American Express Gold,,
2023-11-09,DR ADJ REDIST CADV PRIN,DR ADJ REDIST CADV PRIN,5.0,debit,Transfer,American Express Gold,,
2023-11-09,ADJ REDIST PURCHASE BAL,ADJ REDIST PURCHASE BAL,5.0,credit,Transfer,American Express Gold,,
2023-11-05,UBER EATS HTTPS://HELP.UBER.COCA,UBER EATS HTTPS://HELP.UBER.COCA,5.12,debit,Restaurants,American Express Gold,,
2023-11-05,TANDOORI PIZZA & WINAtlanta GA,TANDOORI PIZZA & WINAtlanta GA,25.96,debit,Restaurants,American Express Gold,,
2023-11-03,GOOGLE SERVICES MOUNTAIN VIEW,GOOGLE SERVICES MOUNTAIN VIEW,6.0,credit,Statement Credits,American Express Gold,,
2023-11-03,GOOGLE SERVICES MOUNTAIN VIEW,GOOGLE SERVICES MOUNTAIN VIEW,20.0,credit,Statement Credits,American Express Gold,,
2023-11-01,AMEX Dining Credit,AMEX Dining Credit,10.0,credit,Statement Credits,American Express Gold,,
2023-10-31,GOOGLE *YOUTUBE TV G.CO/HELPPAY# CA,GOOGLE *YOUTUBE TV G.CO/HELPPAY# CA,69.7,debit,Television,American Express Gold,,
2023-10-28,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,44.57,debit,Groceries,American Express Gold,,
2023-10-28,GRUBHUB*RAYSNEWYORKPNEW YORK NY,GRUBHUB*RAYSNEWYORKPNEW YORK NY,22.86,debit,Restaurants,American Express Gold,,
2023-10-25,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,105.12,credit,Credit Card Payment,American Express Gold,,
