Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-09-09,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,368.94,credit,Credit Card Payment,Amex Blue Cash Everyday,,
2023-09-03,SP MACK WELDON NEW YORK NY,SP MACK WELDON NEW YORK NY,23.95,debit,Clothing,Amex Blue Cash Everyday,,
2023-09-02,GREEN CHEF BOULDER CO,GREEN CHEF BOULDER CO,33.93,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-08-29,EBAY O*XX-XXXXX-5732SAN JOSE CA,EBAY O*XX-XXXXX-5732SAN JOSE CA,25.04,debit,Sporting Goods,Amex Blue Cash Everyday,,
2023-08-21,MOUSTACHE COFFEE CLUPORTLAND OR,MOUSTACHE COFFEE CLUPORTLAND OR,1.0,debit,Coffee Shops,Amex Blue Cash Everyday,,
2023-08-16,HOMEDEPOT.COM XXX-XXX-3376 GA,HOMEDEPOT.COM XXX-XXX-3376 GA,9.66,debit,Home Improvement,Amex Blue Cash Everyday,,
2023-08-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,31.5,credit,Transfer,Amex Blue Cash Everyday,,
2023-07-30,WALMART.COM XXXX6665BENTONVILLE AR,WALMART.COM XXXX6665BENTONVILLE AR,358.28,debit,Electronics & Software,Amex Blue Cash Everyday,,
2023-07-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,113.27,credit,Transfer,Amex Blue Cash Everyday,,
2023-07-06,QT XXX/QUIKTRIP 5541ATLANTA GA,QT XXX/QUIKTRIP 5541ATLANTA GA,15.0,debit,Gas & Fuel,Amex Blue Cash Everyday,,
2023-07-06,GROUPON INC XXX-XXX-7858 IL,GROUPON INC XXX-XXX-7858 IL,16.5,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-06-16,BCE HOME CHEF CREDIT,BCE HOME CHEF CREDIT,15.0,credit,Meal Delivery,Amex Blue Cash Everyday,,
2023-06-14,PAYPAL *FUZZYPETHEA XXXXXX1875 CA,PAYPAL *FUZZYPETHEA XXXXXX1875 CA,52.46,debit,Charity,Amex Blue Cash Everyday,,
2023-06-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,64.09,credit,Transfer,Amex Blue Cash Everyday,,
2023-06-09,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,39.08,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-06-04,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,36.73,debit,Ride Share,Amex Blue Cash Everyday,,
